"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.269060958E0,4.227397032E-3,-3.264382482E-3,1.170777832E-3
1.279026958E0,-2.600141335E-3,-1.296580071E-3,2.016624203E-3
1.288991958E0,1.395931467E-3,-1.423879294E-3,1.358557027E-3
1.298957958E0,1.333072316E-3,-3.809353802E-4,6.663705572E-4
1.308923958E0,-3.801393323E-4,-2.662998391E-3,4.091092269E-4
1.318888958E0,2.681445330E-4,6.953347474E-5,2.814021427E-3
1.328854958E0,-8.842051029E-4,3.137453459E-4,1.310134307E-3
1.338820958E0,-2.297197934E-3,3.028847044E-3,2.237298992E-3
1.348785958E0,-9.160824120E-4,2.138859127E-4,1.176029094E-3
1.358751958E0,-7.682978176E-4,9.040161967E-5,1.294950373E-3
1.368717958E0,-1.753401011E-3,-1.821747981E-3,1.374845277E-3
1.378682958E0,-3.730449826E-4,1.122251386E-3,1.336586196E-3
1.388648958E0,-6.012339145E-5,5.689838901E-3,-1.012545545E-4
1.398614958E0,1.427050680E-3,4.863210954E-3,-4.423686769E-4
1.408579958E0,3.271652386E-4,2.214164706E-3,2.058339538E-3
1.418545958E0,7.562693208E-4,2.868456300E-3,2.620161045E-3
1.428510958E0,-1.771070529E-3,2.005059505E-3,1.977007603E-3
1.438476958E0,1.971110702E-3,2.665858250E-3,1.497127698E-3
1.448442958E0,-1.848927233E-3,4.815295339E-3,5.125569878E-4
1.458407958E0,-1.569495536E-3,7.534728386E-3,-7.257484249E-4
1.468373958E0,9.498549625E-4,7.660429925E-3,-4.964502295E-4
1.478339958E0,-2.283137292E-5,3.577379044E-3,1.461376902E-3
1.488304958E0,1.904880628E-4,4.682591185E-3,1.994807972E-3
1.498270958E0,-1.293974929E-3,5.694188643E-3,-1.231022296E-3
1.508236958E0,-1.136582345E-3,7.069178857E-3,1.069682534E-3
1.518201958E0,-7.920516655E-4,4.745728336E-3,-1.371773658E-3
1.528167958E0,-2.837891690E-3,6.441895850E-3,-3.930620151E-4
1.538133958E0,-2.691564616E-3,3.158355597E-3,-3.829928814E-3
1.548098958E0,-2.061993349E-3,8.009303361E-3,-6.754146889E-4
1.558064958E0,1.199246384E-3,4.394536838E-3,-1.563988859E-3
1.568030958E0,1.426147763E-3,7.319220342E-3,-7.727636257E-4
1.577995958E0,-1.576526091E-3,3.383255331E-3,-1.589701424E-4
1.587961958E0,7.010088302E-4,7.757763844E-3,9.766017320E-4
