"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.878853437E2,6.037205939E1,5.350354463E0,1.771291886E1,6.425365332E0,2.043430128E2,4.535244051E0,4.535244051E0
1.888855789E2,6.037201602E1,5.350311750E0,1.746939301E1,5.769445333E0,2.038982543E2,4.552240379E0,4.552240379E0
1.898852233E2,6.037197069E1,5.350276258E0,1.760815220E1,5.628683798E0,2.009141184E2,4.568242541E0,4.568242541E0
1.908851243E2,6.037192872E1,5.350234234E0,1.775665932E1,5.529017584E0,2.003177582E2,4.578933161E0,4.578933161E0
1.918853220E2,6.037188512E1,5.350188853E0,1.749739423E1,5.483915068E0,2.019471873E2,4.574700336E0,4.574700336E0
1.928849269E2,6.037183659E1,5.350146342E0,1.731072918E1,5.612659304E0,2.019469819E2,4.579523287E0,4.579523287E0
1.938848344E2,6.037178845E1,5.350100713E0,1.681716251E1,5.732686313E0,2.034576228E2,4.587642732E0,4.587642732E0
1.948847479E2,6.037173872E1,5.350064818E0,1.678508170E1,5.689147439E0,2.009556137E2,4.600191260E0,4.600191260E0
1.958846656E2,6.037172002E1,5.349924806E0,1.691305039E1,5.462235436E0,2.082402954E2,4.608847966E0,4.608847966E0
1.968845885E2,6.037168446E1,5.349869545E0,1.680250447E1,5.576071352E0,2.138321533E2,8.124321343E0,8.124321343E0
1.978845165E2,6.037159669E1,5.349939671E0,1.676971897E1,5.780871777E0,2.038872825E2,4.633245605E0,4.633245605E0
1.988844479E2,6.037154931E1,5.349886678E0,1.695018569E1,5.762688068E0,2.075133292E2,4.644905204E0,4.644905204E0
1.998843837E2,6.037150928E1,5.349819259E0,1.778772660E1,5.881300225E0,2.179872833E2,4.651109372E0,4.651109372E0
2.008843231E2,6.037147798E1,5.349737734E0,1.784717506E1,5.368241401E0,2.259236366E2,4.649962587E0,4.649962587E0
2.018842667E2,6.037151187E1,5.349539637E0,1.819107527E1,5.538287737E0,2.357127380E2,9.754060875E0,9.754060875E0
2.028842124E2,6.037149010E1,5.349453101E0,1.825173691E1,5.570299523E0,2.427985687E2,9.177333103E0,9.177333103E0
2.038841618E2,6.037147036E1,5.349375554E0,1.819471900E1,5.111298189E0,2.427985687E2,7.768932655E0,7.768932655E0
2.048841133E2,6.037144808E1,5.349285729E0,1.810031938E1,5.207949920E0,2.444542694E2,7.858156134E0,7.858156134E0
2.058840678E2,6.037142279E1,5.349178932E0,1.929675079E1,5.574068152E0,2.443478394E2,4.615272083E0,4.615272083E0
2.068840250E2,6.037139271E1,5.349086927E0,2.046398467E1,5.595138323E0,2.443478394E2,4.604249351E0,4.604249351E0
2.078839852E2,6.037137036E1,5.348993540E0,1.956559213E1,5.587300195E0,2.443478394E2,4.609655186E0,4.609655186E0
2.088839467E2,6.037134760E1,5.348900333E0,2.007107531E1,5.513479705E0,2.443478394E2,4.611404806E0,4.611404806E0
2.098839120E2,6.037132472E1,5.348806658E0,1.963131155E1,5.539758471E0,2.443478394E2,4.614962963E0,4.614962963E0
2.108838757E2,6.037130763E1,5.348736534E0,1.972596276E1,4.813676567E0,2.443478394E2,4.618739937E0,4.618739937E0
2.118838431E2,6.037129362E1,5.348682247E0,1.962614915E1,3.738555604E0,2.443478394E2,4.621292471E0,4.621292471E0
2.128838135E2,6.037127942E1,5.348633217E0,1.949318839E1,3.107102599E0,2.443478394E2,4.625304260E0,4.625304260E0
2.138837838E2,6.037127768E1,5.348581976E0,1.969252745E1,2.398894709E0,2.443478394E2,4.618849869E0,4.618849869E0
2.148837563E2,6.037127162E1,5.348561394E0,1.998542311E1,1.427695956E0,2.443478394E2,4.621122475E0,4.621122475E0
2.158837292E2,6.037126671E1,5.348551872E0,2.010124072E1,8.016214407E-1,2.443478394E2,4.609811865E0,4.609811865E0
2.168837053E2,6.037126664E1,5.348557393E0,2.013614991E1,0.000000000E0,2.443478394E2,4.611869242E0,4.611869242E0
2.178836812E2,6.037126545E1,5.348565690E0,1.959574167E1,0.000000000E0,2.443478394E2,4.610889283E0,4.610889283E0
2.188836589E2,6.037126252E1,5.348566297E0,2.014569651E1,0.000000000E0,2.443478394E2,4.616189492E0,4.616189492E0
2.198836370E2,6.037127230E1,5.348541688E0,2.103195239E1,2.543964847E-1,2.443478394E2,4.604780814E0,4.604780814E0
2.208836167E2,6.037127248E1,5.348540306E0,2.068176329E1,0.000000000E0,2.443478394E2,4.615658604E0,4.615658604E0
2.218835965E2,6.037127441E1,5.348538348E0,2.066929594E1,0.000000000E0,2.443478394E2,4.634906081E0,4.634906081E0
2.228835777E2,6.037126950E1,5.348542388E0,2.051638842E1,0.000000000E0,2.443478394E2,4.649263564E0,4.649263564E0
2.238836519E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.659215887E0,4.659215887E0
2.248835441E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.662824786E0,4.662824786E0
2.258835276E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.667486065E0,4.667486065E0
2.268835104E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.674633421E0,4.674633421E0
2.278834963E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.667494111E0,4.667494111E0
2.288834819E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.658627806E0,4.658627806E0
2.298834676E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.661432379E0,4.661432379E0
2.308834544E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.663971829E0,4.663971829E0
2.318834409E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.666686420E0,4.666686420E0
2.328834293E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.668981187E0,4.668981187E0
2.338834170E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.671619411E0,4.671619411E0
2.348834060E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.673748892E0,4.673748892E0
2.358833939E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.676019601E0,4.676019601E0
2.368833838E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.678070472E0,4.678070472E0
2.378833734E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.680133791E0,4.680133791E0
2.388833627E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.682343551E0,4.682343551E0
2.398833535E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.684333584E0,4.684333584E0
2.408833437E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.686083113E0,4.686083113E0
2.418833344E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.687781962E0,4.687781962E0
2.428833251E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.689261191E0,4.689261191E0
2.438833165E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.689053341E0,4.689053341E0
2.448833077E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.690971889E0,4.690971889E0
2.458832995E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.692460782E0,4.692460782E0
2.468832921E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.694092032E0,4.694092032E0
2.478832840E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.695444706E0,4.695444706E0
2.488832753E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.696603225E0,4.696603225E0
2.498832681E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.697661574E0,4.697661574E0
2.508832611E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.698808227E0,4.698808227E0
2.518832526E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.699838801E0,4.699838801E0
2.528832458E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.700810957E0,4.700810957E0
2.538832386E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.701679927E0,4.701679927E0
2.548832310E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.702605442E0,4.702605442E0
2.558832241E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.703476368E0,4.703476368E0
2.568832181E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.704231548E0,4.704231548E0
2.578832108E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.704979624E0,4.704979624E0
2.588832042E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.705693492E0,4.705693492E0
2.598831980E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.705125698E0,4.705125698E0
2.608831909E2,6.037126777E1,5.348543893E0,2.041383830E1,0.000000000E0,2.443478394E2,4.706211477E0,4.706211477E0
2.618831842E2,6.037127621E1,5.348562516E0,2.001315256E1,0.000000000E0,2.443478394E2,8.715518445E0,8.715518445E0
2.628831780E2,6.037126620E1,5.348562622E0,1.968955507E1,1.214576916E0,1.705097713E2,9.523922260E0,9.523922260E0
2.638831724E2,6.037125579E1,5.348528145E0,1.985255209E1,2.323280739E0,1.882356968E2,1.162424955E1,1.162424955E1
2.648831662E2,6.037125284E1,5.348464228E0,2.026354223E1,2.817009110E0,2.443478394E2,1.416562399E1,1.416562399E1
2.658831593E2,6.037123456E1,5.348385843E0,2.051995946E1,3.675198061E0,2.448734741E2,1.565372605E1,1.565372605E1
2.668831536E2,6.037121010E1,5.348280530E0,2.081121143E1,4.968918806E0,2.448734741E2,1.725835258E1,1.725835258E1
2.678831469E2,6.037117710E1,5.348138411E0,2.054999924E1,6.774628191E0,2.448734741E2,1.725791663E1,1.725791663E1
2.688831409E2,6.037114811E1,5.348013608E0,2.081798473E1,7.244203351E0,2.448734741E2,1.605337755E1,1.605337755E1
2.698831354E2,6.037112066E1,5.347895397E0,2.140748868E1,7.465965288E0,2.448734741E2,1.620610803E1,1.620610803E1
2.708831288E2,6.037109274E1,5.347775184E0,2.178022891E1,7.530751601E0,2.448734741E2,1.684801558E1,1.684801558E1
2.718831234E2,6.037106450E1,5.347653720E0,2.182157579E1,7.522079719E0,2.448077087E2,1.761830933E1,1.761830933E1
2.728831172E2,6.037102873E1,5.347500104E0,2.191253651E1,8.026884771E0,2.448165741E2,1.807879736E1,1.807879736E1
2.738831115E2,6.037097067E1,5.347250750E0,2.154904273E1,9.985432829E0,2.448165741E2,1.705185977E1,1.705185977E1
2.748831058E2,6.037089328E1,5.346918393E0,2.187481220E1,1.259868824E1,2.448165741E2,1.573357772E1,1.573357772E1
2.758830993E2,6.037082798E1,5.346637939E0,2.178636822E1,1.383531862E1,2.448165741E2,1.712127343E1,1.712127343E1
2.768830944E2,6.037076498E1,5.346367354E0,2.185917181E1,1.419338353E1,2.448165741E2,1.632227303E1,1.632227303E1
2.778830880E2,6.037070615E1,5.346109893E0,2.159098539E1,1.420606435E1,2.454127960E2,1.674403723E1,1.674403723E1
2.788830831E2,6.037064856E1,5.345855700E0,2.148352252E1,1.427932217E1,2.454127960E2,1.636029333E1,1.636029333E1
2.798830768E2,6.037059319E1,5.345611334E0,2.156923111E1,1.410671384E1,2.454127960E2,1.568017792E1,1.568017792E1
2.808830715E2,6.037053876E1,5.345371094E0,2.160711119E1,1.388298215E1,2.454127960E2,1.460675490E1,1.460675490E1
2.818830662E2,6.037048916E1,5.345152201E0,2.189990065E1,1.306088107E1,2.454127960E2,1.304497840E1,1.304497840E1
2.828830608E2,6.037044389E1,5.344952411E0,2.211839690E1,1.218907094E1,2.454127960E2,1.157183681E1,1.157183681E1
2.838830539E2,6.037039848E1,5.344757641E0,2.230726601E1,1.162814460E1,2.447876434E2,1.097863099E1,1.097863099E1
2.848830491E2,6.037035574E1,5.344574300E0,2.217255959E1,1.121877265E1,2.447876434E2,1.013374819E1,1.013374819E1
2.858830440E2,6.037029491E1,5.344395016E0,2.184358130E1,1.100972394E1,2.425923157E2,4.659407503E0,4.659407503E0
2.868830379E2,6.037026517E1,5.344204619E0,2.175543871E1,1.085856956E1,2.407674255E2,4.636492772E0,4.636492772E0
2.878830321E2,6.037021667E1,5.344031593E0,2.168510385E1,1.085313187E1,2.407674255E2,4.637641758E0,4.637641758E0
2.888830267E2,6.037016137E1,5.343867984E0,2.173554491E1,1.085048266E1,2.380350952E2,4.639829293E0,4.639829293E0
2.898830210E2,6.037009889E1,5.343707939E0,2.176934522E1,1.093215376E1,2.345049744E2,4.645371473E0,4.645371473E0
2.908830153E2,6.037004396E1,5.343558273E0,2.192419505E1,1.052889771E1,2.310529633E2,4.647765363E0,4.647765363E0
2.918830105E2,6.036998018E1,5.343434058E0,2.180181641E1,1.011970907E1,2.254243011E2,4.647528999E0,4.647528999E0
2.928830053E2,6.036991333E1,5.343322460E0,2.187959855E1,9.759057336E0,2.176573486E2,4.635220613E0,4.635220613E0
2.938829995E2,6.036983171E1,5.343226722E0,2.194649900E1,9.992626767E0,2.147977753E2,4.638646788E0,4.638646788E0
2.948829930E2,6.036976338E1,5.343125444E0,2.163813918E1,9.766677786E0,2.147977753E2,4.650356963E0,4.650356963E0
