"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.700076958E0,2.160008240E-1,3.203338623E-2,9.964628448E0
1.710042958E0,1.896556091E-1,-2.380050659E-2,9.851014709E0
1.720007958E0,-3.338058472E-2,-6.885681152E-3,9.816436615E0
1.729973958E0,1.194515991E-1,5.388793945E-3,9.729617157E0
1.739939958E0,1.170565796E-1,3.772155762E-2,9.865684204E0
1.749904958E0,1.561253357E-1,1.496887207E-2,9.863887939E0
1.759870958E0,1.657054138E-1,1.272354126E-2,9.896520081E0
1.769836958E0,3.118016052E-1,-3.083587646E-2,9.802066498E0
1.779801958E0,3.487747192E-2,3.023712158E-2,9.757608948E0
1.789767958E0,6.286926270E-2,1.407073975E-2,9.797426147E0
1.799732958E0,1.377136230E-1,3.023712158E-2,9.928104401E0
1.809698958E0,2.493814087E-1,-2.694396973E-3,9.867779846E0
1.819664958E0,1.511856079E-1,1.377136230E-2,9.834698639E0
1.829629958E0,1.137634277E-2,-2.574645996E-2,9.732012177E0
1.839595958E0,7.978408813E-2,2.320175171E-2,9.820328522E0
1.849561958E0,2.237846375E-1,-1.496887207E-3,9.876312103E0
1.859526958E0,2.659968567E-1,1.945953369E-2,9.985584869E0
1.869492958E0,1.868115234E-1,-1.257385254E-2,1.000220032E1
1.879458958E0,1.654060364E-1,-5.987548828E-3,9.906249847E0
1.889423125E0,1.691482544E-2,-2.619552612E-2,9.823322296E0
1.899389125E0,1.240919495E-1,2.245330811E-2,9.813592529E0
1.909355125E0,1.022373962E-1,2.245330811E-3,9.876910858E0
1.919320125E0,4.236190796E-2,3.397933960E-2,9.886640625E0
1.929286125E0,2.863545227E-1,-1.332229614E-2,9.828411713E0
1.939252125E0,1.396595764E-1,2.694396973E-3,9.744735718E0
1.949217125E0,8.232879639E-3,-1.481918335E-2,9.725126495E0
1.959183125E0,1.856140137E-1,2.948867798E-2,9.807155914E0
1.969149125E0,2.588117981E-1,-9.879455566E-3,9.959389343E0
1.979114125E0,1.624122620E-1,1.766326904E-2,9.911189575E0
1.989080125E0,1.576222229E-1,-1.916015625E-2,9.840087433E0
1.999046125E0,8.158035278E-2,1.422042847E-2,9.808652802E0
2.009011125E0,7.424560547E-2,7.783813477E-3,9.881102142E0
2.018977125E0,2.377056885E-1,2.200424194E-2,9.916428680E0
2.028943125E0,1.272354126E-1,-1.272354126E-2,9.958341522E0
2.038908125E0,2.695893860E-1,1.751358032E-2,9.841734009E0
2.048874125E0,1.571731567E-2,-2.514770508E-2,9.838889923E0
2.058839125E0,1.731898499E-1,1.047821045E-2,9.806856537E0
2.068805125E0,8.262817383E-2,-2.694396973E-3,9.917925568E0
2.078771125E0,3.016227722E-1,1.631607056E-2,9.911788330E0
2.088736125E0,7.963439941E-2,2.395019531E-3,9.914782104E0
2.098702125E0,3.188369751E-1,2.380050659E-2,9.772577820E0
2.108668125E0,3.203338623E-2,-1.137634277E-2,9.763895874E0
2.118633125E0,1.317260742E-1,2.529739380E-2,9.735754395E0
2.128599125E0,1.475930786E-1,1.856140137E-2,9.857451324E0
2.138565125E0,1.895059204E-1,1.092727661E-2,9.910590820E0
2.148530125E0,1.833686829E-1,-1.197509766E-3,9.861492920E0
2.158496125E0,6.092330933E-2,-7.484436035E-4,9.706415405E0
2.168462125E0,7.035369873E-2,-4.640350342E-3,9.803862762E0
2.178427125E0,1.184037781E-1,2.050735474E-2,9.805359650E0
2.188393125E0,3.100053406E-1,1.062789917E-2,9.919572144E0
2.198359125E0,1.707948303E-1,-1.796264648E-3,9.833201752E0
2.208324125E0,1.975891113E-1,1.092727661E-2,9.846074982E0
2.218290125E0,5.044509888E-2,1.646575928E-3,9.742490387E0
2.228256125E0,7.529342651E-2,-5.388793945E-3,9.862540741E0
2.238221125E0,2.594105530E-1,5.089416504E-3,9.884245605E0
2.248187125E0,1.425036621E-1,7.634124756E-3,1.001417542E1
2.258153125E0,2.115101624E-1,3.742218018E-3,9.915231171E0
2.268118125E0,8.726852417E-2,4.790039062E-3,9.860594788E0
2.278084125E0,1.877096558E-1,-1.616638184E-2,9.803264008E0
2.288049125E0,-2.859054565E-2,3.038681030E-2,9.895023193E0
2.298015125E0,2.977308655E-1,1.377136230E-2,9.891730042E0
2.307981125E0,3.996688843E-2,1.781295776E-2,9.956096191E0
2.317946125E0,3.129991150E-1,-2.395019531E-3,9.821376343E0
2.327912125E0,4.385879517E-2,5.089416504E-3,9.837842102E0
2.337878125E0,6.735992432E-2,-1.362167358E-2,9.811496887E0
2.347843125E0,1.508862305E-1,3.532653809E-2,9.900861053E0
2.357809125E0,2.565664673E-1,4.191284180E-3,9.930499420E0
2.367775125E0,1.600172424E-1,1.751358032E-2,9.924362183E0
2.377740125E0,9.175918579E-2,-1.122665405E-2,9.803563385E0
2.387706125E0,6.721023560E-2,2.469863892E-2,9.828262024E0
2.397672125E0,1.445993042E-1,4.340972900E-3,9.879605255E0
2.407637125E0,2.390528870E-1,2.679428101E-2,9.977052612E0
2.417603125E0,2.023791504E-1,3.891906738E-3,9.937684479E0
2.427569125E0,1.471440125E-1,1.826202393E-2,9.870025177E0
2.437534125E0,1.288819885E-1,-1.886077881E-2,9.811496887E0
2.447500125E0,1.221459961E-1,8.681945801E-3,9.859097900E0
2.457466125E0,1.913021851E-1,2.993774414E-4,9.898166656E0
2.467431125E0,1.763333130E-1,1.871109009E-2,9.933642883E0
2.477397125E0,2.091151428E-1,-1.871109009E-2,9.899813232E0
2.487363125E0,1.622625732E-1,9.729766846E-3,9.808503113E0
2.497328125E0,1.173559570E-1,-1.916015625E-2,9.787247314E0
2.507294125E0,7.050338745E-2,3.083587646E-2,9.807006226E0
2.517259125E0,2.469863892E-1,-1.796264648E-3,9.899364166E0
2.527225125E0,2.082170105E-1,3.113525391E-2,9.912237396E0
2.537191125E0,1.510359192E-1,-1.930984497E-2,9.830507355E0
2.547156125E0,1.673519897E-1,1.242416382E-2,9.718989258E0
2.557122125E0,4.939727783E-3,-1.422042847E-2,9.761949921E0
2.567088125E0,2.525248718E-1,2.574645996E-2,9.832453308E0
2.577053125E0,1.472937012E-1,-1.646575928E-3,9.929451599E0
2.587019125E0,2.844085693E-1,2.215393066E-2,9.869276733E0
2.596985125E0,7.469467163E-2,-2.844085693E-3,9.820627899E0
2.606950125E0,1.591191101E-1,2.065704346E-2,9.742789764E0
2.616916125E0,7.664062500E-2,5.388793945E-3,9.826765137E0
2.626882125E0,2.573149109E-1,2.200424194E-2,9.863738251E0
2.636847125E0,1.206491089E-1,-5.987548828E-3,9.917476501E0
2.646813125E0,2.432441711E-1,9.131011963E-3,9.838889923E0
2.656779125E0,1.266366577E-1,-6.436614990E-3,9.816586304E0
2.666744125E0,1.300794983E-1,1.077758789E-2,9.748927002E0
2.676710125E0,8.681945801E-2,5.688171387E-3,9.876012726E0
2.686676125E0,2.537223816E-1,3.023712158E-2,9.925559692E0
2.696641125E0,2.119592285E-1,-2.245330811E-3,9.970765686E0
2.706607125E0,2.127076721E-1,9.580078125E-3,9.831854553E0
2.716572125E0,7.035369873E-2,-2.245330811E-2,9.820627899E0
2.726538125E0,1.065783691E-1,3.173400879E-2,9.807455292E0
2.736504125E0,1.573228455E-1,3.592529297E-3,9.943372650E0
2.746469125E0,3.126997375E-1,2.215393066E-2,9.932595062E0
2.756435125E0,1.516346741E-1,-2.993774414E-4,9.938432922E0
2.766401125E0,2.171983337E-1,1.496887207E-3,9.803713074E0
2.776366125E0,-1.422042847E-2,-5.987548828E-4,9.850116577E0
2.786332125E0,2.951861572E-1,1.242416382E-2,9.852960663E0
2.796298125E0,9.565109253E-2,1.092727661E-2,9.965077515E0
2.806263125E0,2.790197754E-1,8.981323242E-4,9.923314362E0
2.816229125E0,9.175918579E-2,1.287322998E-2,9.891879730E0
2.826195125E0,2.275268555E-1,-1.212478638E-2,9.794282684E0
2.836160125E0,2.035766602E-2,5.239105225E-3,9.842781830E0
2.846126125E0,2.163002014E-1,1.002914429E-2,9.858050079E0
2.856092125E0,1.746867371E-1,2.245330811E-2,9.965825958E0
2.866057125E0,2.053729248E-1,1.317260742E-2,9.894723816E0
2.876023125E0,1.902543640E-1,4.640350342E-3,9.851164398E0
2.885989125E0,4.984634399E-2,-1.362167358E-2,9.770182800E0
2.895958708E0,1.079255676E-1,2.335144043E-2,9.871072998E0
2.905924708E0,1.933978271E-1,1.556762695E-2,9.906249847E0
2.915889708E0,2.427951050E-1,5.538482666E-3,9.953102417E0
2.925855708E0,1.586700439E-1,1.496887207E-4,9.832153931E0
2.935821708E0,1.059796143E-1,5.388793945E-3,9.795180817E0
2.945786708E0,5.748046875E-2,-1.796264648E-3,9.775122528E0
2.955752708E0,2.070195007E-1,2.424957275E-2,9.886041870E0
2.965718708E0,2.411485291E-1,-5.239105225E-3,9.895621948E0
2.975683708E0,5.822891235E-2,2.050735474E-2,9.877958679E0
2.985649708E0,2.306703186E-1,-9.729766846E-3,9.808652802E0
2.995615708E0,4.251159668E-2,1.901046753E-2,9.799970856E0
3.005580708E0,1.670526123E-1,-1.182540894E-2,9.820777588E0
3.015546708E0,1.100212097E-1,4.146377563E-2,9.887688446E0
3.025512708E0,2.252815247E-1,-1.422042847E-2,9.914033661E0
3.035477708E0,1.466949463E-1,2.724334717E-2,9.867480469E0
3.045443708E0,1.425036621E-1,-2.694396973E-2,9.812095642E0
3.055409708E0,3.697311401E-2,2.649490356E-2,9.801916809E0
3.065374708E0,1.216969299E-1,1.107696533E-2,9.844578094E0
3.075340708E0,2.634521484E-1,3.457809448E-2,9.915979614E0
3.085306708E0,1.228944397E-1,-1.975891113E-2,9.874964905E0
3.095271708E0,2.333647156E-1,1.137634277E-2,9.782606964E0
3.105237708E0,-6.047424316E-2,-1.347198486E-2,9.759854279E0
3.115202708E0,1.773811340E-1,2.589614868E-2,9.817634125E0
3.125168708E0,1.820214844E-1,1.422042847E-2,9.891280975E0
3.135134708E0,2.591111755E-1,7.933502197E-3,9.889185333E0
3.145099708E0,4.760101318E-2,-1.526824951E-2,9.832004242E0
3.155065708E0,1.758842468E-1,1.975891113E-2,9.769134979E0
3.165031708E0,8.023315430E-2,-1.182540894E-2,9.810598755E0
3.174996708E0,1.661544800E-1,1.990859985E-2,9.838291168E0
3.184962708E0,2.350112915E-1,-8.681945801E-3,9.900561676E0
3.194928708E0,1.194515991E-1,1.616638184E-2,9.863438873E0
3.204893708E0,1.764830017E-1,-1.272354126E-2,9.838141479E0
3.214859708E0,1.405577087E-1,1.302291870E-2,9.768236847E0
3.224825708E0,1.287322998E-2,-1.392105103E-2,9.859097900E0
3.234790708E0,1.851649475E-1,4.146377563E-2,9.900112610E0
3.244756708E0,1.555265808E-1,2.993774414E-4,9.964329071E0
3.254722708E0,2.579136658E-1,8.083190918E-3,9.883048096E0
3.264687708E0,6.750961304E-2,-1.556762695E-2,9.851164398E0
3.274653708E0,1.603166199E-1,2.230361938E-2,9.807904358E0
3.284619708E0,5.688171387E-3,8.083190918E-3,9.922266541E0
3.294584708E0,3.706292725E-1,3.038681030E-2,9.929750977E0
3.304550708E0,1.178050232E-1,-4.490661621E-4,9.940378876E0
3.314515708E0,1.998344421E-1,-4.490661621E-4,9.836045837E0
3.324481708E0,3.592529297E-3,9.131011963E-3,9.831555176E0
3.334447708E0,2.097138977E-1,-3.442840576E-3,9.850865021E0
3.344412708E0,1.251397705E-1,1.362167358E-2,9.948312378E0
3.354378708E0,2.764750671E-1,5.688171387E-3,9.902657318E0
3.364344708E0,1.098715210E-1,-8.382568359E-3,9.904752960E0
3.374309708E0,1.586700439E-1,-4.340972900E-3,9.786648560E0
3.384275708E0,1.558259583E-1,2.395019531E-3,9.826615448E0
3.394241708E0,8.936416626E-2,1.122665405E-2,9.826465759E0
3.404206708E0,2.061213684E-1,1.886077881E-2,9.904752960E0
3.414172708E0,1.936972046E-1,1.377136230E-2,9.851314087E0
3.424138708E0,1.631607056E-1,-2.395019531E-3,9.845625916E0
3.434103708E0,9.355545044E-2,1.631607056E-2,9.734407196E0
